press_name,movie_id,press_rating
L'Obs,262394,1.0
Les Fiches du Cinéma,262394,1.0
Les Inrockuptibles,262394,1.0
Paris Match,262394,1.0
Positif,262394,1.0
Télérama,262394,1.0
L'Humanité,264844,5.0
Les Echos,264844,5.0
Dernières Nouvelles d'Alsace,264844,4.0
Elle,264844,4.0
Femme Actuelle,264844,4.0
La Voix du Nord,264844,4.0
Le Dauphiné Libéré,264844,4.0
Le Figaro,264844,4.0
Le Journal du Dimanche,264844,4.0
Le Monde,264844,4.0
Le Parisien,264844,4.0
Les Fiches du Cinéma,264844,4.0
Les Inrockuptibles,264844,4.0
Marianne,264844,4.0
Marie Claire,264844,4.0
Ouest France,264844,4.0
Positif,264844,4.0
Sud Ouest,264844,4.0
Télérama,264844,4.0
Bande à part,264844,3.0
Cahiers du Cinéma,264844,3.0
Critikat.com,264844,3.0
L'Obs,264844,3.0
La Croix,264844,3.0
Libération,264844,3.0
Première,264844,3.0
aVoir-aLire.com,264844,3.0
Femme Actuelle,290271,4.0
Les Echos,290271,4.0
Les Fiches du Cinéma,290271,4.0
Libération,290271,4.0
Marianne,290271,4.0
Ouest France,290271,4.0
Sud Ouest,290271,4.0
Voici,290271,4.0
Bande à part,290271,3.0
L'Obs,290271,3.0
La Croix,290271,3.0
La Septième Obsession,290271,3.0
Le Figaro,290271,3.0
Le Journal du Dimanche,290271,3.0
Le Monde,290271,3.0
Télérama,290271,3.0
Première,290271,2.0
Le Parisien,290271,1.0
Les Inrockuptibles,280134,5.0
Libération,280134,5.0
Cahiers du Cinéma,280134,4.0
Critikat.com,280134,4.0
Le Journal du Dimanche,280134,4.0
Le Monde,280134,4.0
Les Fiches du Cinéma,280134,4.0
Ouest France,280134,4.0
Télérama,280134,4.0
L'Obs,280134,3.0
Première,280134,3.0
20 Minutes,268283,4.0
Bande à part,268283,4.0
CNews,268283,4.0
Dernières Nouvelles d'Alsace,268283,4.0
L'Humanité,268283,4.0
L'Obs,268283,4.0
Le Dauphiné Libéré,268283,4.0
Le Parisien,268283,4.0
Les Fiches du Cinéma,268283,4.0
Libération,268283,4.0
Positif,268283,4.0
Télé 7 Jours,268283,4.0
Télérama,268283,4.0
aVoir-aLire.com,268283,4.0
Franceinfo Culture,268283,3.0
La Voix du Nord,268283,3.0
Le Figaro,268283,3.0
Les Inrockuptibles,268283,3.0
Sud Ouest,268283,3.0
Cahiers du Cinéma,268283,2.0
Critikat.com,268283,2.0
La Croix,268283,2.0
Le Monde,268283,2.0
Les Echos,268283,2.0
Première,268283,2.0
Le Journal du Dimanche,268283,1.0
Dernières Nouvelles d'Alsace,285300,4.0
Le Dauphiné Libéré,285300,4.0
Le Parisien,285300,4.0
Public,285300,4.0
La Croix,285300,2.0
Le Journal du Dimanche,285300,2.0
