press_name,movie_id,press_rating
Première,186437,1.0
Les Echos,292929,5.0
Voici,292929,5.0
20 Minutes,292929,4.0
Dernières Nouvelles d'Alsace,292929,4.0
Femme Actuelle,292929,4.0
L'Obs,292929,4.0
Le Dauphiné Libéré,292929,4.0
Le Monde,292929,4.0
Les Fiches du Cinéma,292929,4.0
Marianne,292929,4.0
Ouest France,292929,4.0
Positif,292929,4.0
Sud Ouest,292929,4.0
Culturopoing.com,292929,3.0
La Croix,292929,3.0
Le Journal du Dimanche,292929,3.0
Le Parisien,292929,3.0
Première,292929,3.0
aVoir-aLire.com,292929,3.0
Libération,292929,1.0
Bande à part,280841,4.0
CinemaTeaser,280841,4.0
Dernières Nouvelles d'Alsace,280841,4.0
Elle,280841,4.0
Femme Actuelle,280841,4.0
La Croix,280841,4.0
Le Dauphiné Libéré,280841,4.0
Le Figaro,280841,4.0
Le Monde,280841,4.0
Le Parisien,280841,4.0
Les Echos,280841,4.0
Les Fiches du Cinéma,280841,4.0
Marianne,280841,4.0
Paris Match,280841,4.0
Positif,280841,4.0
Première,280841,4.0
Télérama,280841,4.0
Cahiers du Cinéma,280841,3.0
L'Obs,280841,3.0
Le Journal du Dimanche,280841,3.0
Les Inrockuptibles,280841,3.0
Libération,280841,3.0
aVoir-aLire.com,280841,3.0
Critikat.com,280841,2.0
Le Figaro,278257,5.0
Le Parisien,278257,5.0
Ouest France,278257,5.0
Positif,278257,5.0
Voici,278257,5.0
20 Minutes,278257,4.0
Bande à part,278257,4.0
Dernières Nouvelles d'Alsace,278257,4.0
L'Humanité,278257,4.0
L'Obs,278257,4.0
La Voix du Nord,278257,4.0
Le Dauphiné Libéré,278257,4.0
Le Monde,278257,4.0
Les Echos,278257,4.0
Les Fiches du Cinéma,278257,4.0
Marianne,278257,4.0
Télé 7 Jours,278257,4.0
Télérama,278257,4.0
La Croix,278257,3.0
Le Journal du Dimanche,278257,3.0
Première,278257,3.0
Sud Ouest,278257,3.0
aVoir-aLire.com,278257,3.0
Cahiers du Cinéma,278257,2.0
Femme Actuelle,296976,5.0
Ouest France,296976,5.0
Ecran Large,296976,4.0
Franceinfo Culture,296976,4.0
IGN France,296976,4.0
L'Obs,296976,4.0
Le Figaro,296976,4.0
Les Fiches du Cinéma,296976,4.0
Libération,296976,4.0
Mad Movies,296976,4.0
Première,296976,4.0
Télérama,296976,4.0
La Croix,296976,3.0
La Voix du Nord,296976,3.0
Le Journal du Dimanche,296976,3.0
Le Parisien,296976,3.0
Positif,296976,3.0
Sud Ouest,296976,3.0
aVoir-aLire.com,296976,3.0
Dernières Nouvelles d'Alsace,293409,4.0
L'Obs,293409,4.0
Le Dauphiné Libéré,293409,4.0
Les Fiches du Cinéma,293409,4.0
Libération,293409,4.0
Ouest France,293409,4.0
Positif,293409,4.0
Sud Ouest,293409,4.0
aVoir-aLire.com,293409,4.0
Le Figaro,293409,3.0
Le Journal du Dimanche,293409,3.0
Première,293409,3.0
Cahiers du Cinéma,293409,2.0
Critikat.com,293409,2.0
Télérama,293409,2.0
Les Inrockuptibles,271844,5.0
L'Obs,271844,4.0
Le Monde,271844,4.0
Les Echos,271844,4.0
Marianne,271844,4.0
Sud Ouest,271844,4.0
Transfuge,271844,4.0
Télérama,271844,4.0
aVoir-aLire.com,271844,4.0
Cahiers du Cinéma,271844,3.0
La Croix,271844,3.0
Le Figaro,271844,3.0
Le Journal du Dimanche,271844,3.0
Les Fiches du Cinéma,271844,3.0
Positif,271844,3.0
Première,271844,3.0
Libération,271844,2.0
Elle,281709,5.0
Marianne,281709,5.0
Voici,281709,5.0
20 Minutes,281709,4.0
CinemaTeaser,281709,4.0
Dernières Nouvelles d'Alsace,281709,4.0
Femme Actuelle,281709,4.0
